2022-11-26 17:17:14,062 | INFO | ulauncher: main() | Ulauncher version 5.15.0
2022-11-26 17:17:14,062 | INFO | ulauncher: main() | Extension API version 2.0.0
2022-11-26 17:17:14,062 | INFO | ulauncher: main() | GTK+ 3.24.35
2022-11-26 17:17:14,062 | INFO | ulauncher: main() | Is Wayland: False
2022-11-26 17:17:14,062 | INFO | ulauncher: main() | Wayland compatibility: off
2022-11-26 17:17:14,077 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'input-box'
2022-11-26 17:17:14,083 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','destroy', 'on_destroy'
2022-11-26 17:17:14,083 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_in_event', 'on_focus_in_event'
2022-11-26 17:17:14,083 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'ulauncher_window','focus_out_event', 'on_focus_out_event'
2022-11-26 17:17:14,084 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'input','key_press_event', 'on_input_key_press_event'
2022-11-26 17:17:14,084 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_input_changed'
2022-11-26 17:17:14,084 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_about_activate'
2022-11-26 17:17:14,084 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_close_activate'
2022-11-26 17:17:14,084 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_mnu_preferences_activate'
2022-11-26 17:17:14,084 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_preferences_dialog_destroyed'
2022-11-26 17:17:14,086 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-11-26 17:17:14,086 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-11-26 17:17:14,092 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-11-26 17:17:14,094 | INFO | ulauncher.api.server.ExtensionServer: _start_thread() | Starting WS server on port 5054
2022-11-26 17:17:14,094 | INFO | ulauncher.search.apps.app_watcher: start() | Started scanning desktop dirs
2022-11-26 17:17:14,099 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/kvantummanager.desktop": constructor returned NULL
2022-11-26 17:17:14,103 | INFO | ulauncher.utils.desktop.reader: find_apps_cached() | Found 59 apps in cache
2022-11-26 17:17:14,104 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/xfce-settings-manager.desktop": constructor returned NULL
2022-11-26 17:17:14,104 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/xfce4-session-logout.desktop": constructor returned NULL
2022-11-26 17:17:14,105 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/xfce4-session-sleep.desktop": constructor returned NULL
2022-11-26 17:17:14,106 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/xfce4-session-forcequit.desktop": constructor returned NULL
2022-11-26 17:17:14,106 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/xfce4-session-lockscreen.desktop": constructor returned NULL
2022-11-26 17:17:14,107 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/xfce4-session-restart.desktop": constructor returned NULL
2022-11-26 17:17:14,108 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: <Primary>space
2022-11-26 17:17:14,114 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kded5.desktop": constructor returned NULL
2022-11-26 17:17:14,117 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/usr/share/applications/org.kde.kdeconnect_open.desktop": constructor returned NULL
